,sleep_hours,productivity_score,steps_per_day,calories_intake,weight_kg,caffeine_mg
sleep_hours,1.0,0.6481930615561758,0.12345703121885292,0.1250914281070222,-0.06380072458528403,-0.1648138173596657
productivity_score,0.6481930615561758,1.0,-0.08522208105849219,0.24315633798622774,0.16341666179650433,0.07395788118322981
steps_per_day,0.12345703121885292,-0.08522208105849219,1.0,-0.11996971221974986,-0.5005989794260777,-0.06941467751472162
calories_intake,0.1250914281070222,0.24315633798622774,-0.11996971221974986,1.0,0.6178242918645195,0.07423760481804782
weight_kg,-0.06380072458528403,0.16341666179650433,-0.5005989794260777,0.6178242918645195,1.0,0.08880634131889967
caffeine_mg,-0.1648138173596657,0.07395788118322981,-0.06941467751472162,0.07423760481804782,0.08880634131889967,1.0
