variable,test,statistic,p_value,n,normality_conclusion
sleep_hours,Shapiro-Wilk,0.9911221903256981,0.5799392202813858,130,Нормальний (p=0.5799 >= 0.05)
productivity_score,Shapiro-Wilk,0.9890905752387489,0.39668914765693414,130,Нормальний (p=0.3967 >= 0.05)
steps_per_day,Shapiro-Wilk,0.9946930935514006,0.9130012273200465,130,Нормальний (p=0.9130 >= 0.05)
calories_intake,Shapiro-Wilk,0.986576137665101,0.23312520562653688,130,Нормальний (p=0.2331 >= 0.05)
weight_kg,Shapiro-Wilk,0.7923604963931437,2.773026252168284e-12,130,Не нормальний (p=0.0000 < 0.05)
caffeine_mg,Shapiro-Wilk,0.9868275659717815,0.24634041418896707,130,Нормальний (p=0.2463 >= 0.05)
